GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE
1001454,110002672484,2023,El Centro,485 E VILLA AVE,EL CENTRO,CA,92243,Imperial,IMPERIAL IRRIGATION DISTRICT,333 E. Barioni Blvd,Imperial,CA,92251,100,221112
1001455,110002422815,2023,Harbor Generating Station,161 N ISLAND AVE,WILMINGTON,CA,90744,Los Angeles,CITY OF LOS ANGELES CALIFORNIA,"200 N Spring Street, Suite 303",Los Angeles,CA,90012,100,221112
1001456,110000914734,2023,Scattergood Generating Station,12700 VISTA DEL MAR,PLAYA DEL REY,CA,90293,Los Angeles,CITY OF LOS ANGELES CALIFORNIA,"200 N Spring Street, Suite 303",Los Angeles,CA,90012,100,221112
1001457,110012444417,2023,Valley Generating Station,11801 SHELDON ST,SUN VALLEY,CA,91352,Los Angeles,CITY OF LOS ANGELES CALIFORNIA,"200 N Spring Street, Suite 303",Los Angeles,CA,90012,100,221112
1001459,110071161556,2023,Glenarm,43 EAST STATE ST,PASADENA,CA,91105,Los Angeles,CITY OF PASADENA CALIFORNIA,85 East State Street,Pasadena,CA,91105,100,221112
1001462,110000467851,2023,Comanche (470),2005 LIME RD,PUEBLO,CO,81006,Pueblo,HOLY CROSS ELECTRIC ASSOC INC,3799 U.S. Highway 82,Glenwood Springs,CO,81601,4.19,221112
1001462,110000467851,2023,Comanche (470),2005 LIME RD,PUEBLO,CO,81006,Pueblo,INTERMOUNTAIN RURAL ELECTRIC ASSOC,5496 North U.S. Highway 85,Sedalia,CO,80135,13.27,221112
1001462,110000467851,2023,Comanche (470),2005 LIME RD,PUEBLO,CO,81006,Pueblo,XCEL ENERGY INC,414 Nicollet Mall,Minneapolis,MN,55401,82.54,221112
1001463,110000467290,2023,Valmont,1800 N 63RD ST,BOULDER,CO,80302,Boulder,XCEL ENERGY INC,414 Nicollet Mall,Minneapolis,MN,55401,100,221112
1001465,110009559637,2023,Martin Drake,700 S CONEJOS ST,COLORADO SPRINGS,CO,80903,El Paso,COLORADO SPRINGS UTILITIES,"121 South Tejon Street, Suite 200",Colorado Springs,CO,80903,100,221112
1001466,110071161558,2023,Hayden,12795 E YUTE,HAYDEN,CO,81639,Routt,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT,1500 N Mill Avenue,Tempe,AZ,85281,29.59,221112
1001466,110071161558,2023,Hayden,12795 E YUTE,HAYDEN,CO,81639,Routt,XCEL ENERGY INC,414 Nicollet Mall,Minneapolis,MN,55401,52.95,221112
1001466,110071161558,2023,Hayden,12795 E YUTE,HAYDEN,CO,81639,Routt,BERKSHIRE HATHAWAY INC,"3555 Farnam Street, Suite 1140",Omaha,NE,68131,17.46,221112
1001469,110000316006,2023,Montville,74 LATHROP ROAD,UNCASVILLE,CT,06382,New London,ARCLIGHT ENERGY PARTNERS FUND VII LP,"200 CLARENDON STREET, 55TH FLOOR",BOSTON,MA,02116,100,221112
1001472,110070835005,2023,Curtis H. Stanton Energy Center,5100 S ALAFAYA TRAIL,ORLANDO,FL,32831,Orange,ORLANDO UTILITIES COMMISSION (INC),100 West Anderson Street,Orlando,FL,32801,100,221112
1001477,110000338821,2023,Edge Moor,200 HAY ROAD,WILMINGTON,DE,19809,New Castle,CPN MANAGEMENT LP,40 Beechwood Road,Summit,NJ,07901,100,221112
1001478,110064617589,2023,Indian River,29416 POWER PLANT ROAD,DAGSBORO,DE,19939,Sussex,NRG ENERGY INC,910 Louisiana Street,Houston,TX,77002,100,221112
1001481,110045626989,2023,Brandon Shores LLC,2030 Brandon Shores RD,Baltimore,MD,21226,Anne Arundel,TALEN ENERGY CORP,"600 Hamilton Street, Suite 600",Allentown,PA,18101,100,221112
1001483,110071161609,2023,Fort Myers,10650 STATE ROAD 80,FORT MYERS,FL,33905,Lee,NEXTERA ENERGY INC,700 Universe Blvd,Juno Beach,FL,33408,100,221112
1001484,110055206584,2023,Port Everglades,8100 EISENHOWER BOULEVARD,FORT LAUDERDALE,FL,33316,Broward,NEXTERA ENERGY INC,700 Universe Blvd,Juno Beach,FL,33408,100,221112
1001485,110000363963,2023,Riviera,200 300 BROADWAY,RIVIERA BEACH,FL,33404,Palm Beach,NEXTERA ENERGY INC,700 Universe Blvd,Juno Beach,FL,33408,100,221112
1001487,110017431215,2023,Crystal River Power Plant,15760 WEST POWERLINE ST,CRYSTAL RIVER,FL,34428,Citrus,DUKE ENERGY CORP,550 S Tryon Street,Charlotte,NC,28202,100,221112
1001489,110000588846,2023,P L Bartow Power Plant,1601 WEEDON ISLAND DRIVE,SAINT PETERSBURG,FL,33702,Pinellas,DUKE ENERGY CORP,550 S Tryon Street,Charlotte,NC,28202,100,221112
1001490,110070395397,2023,Suwannee River Power Plant,4037 RIVER ROAD,LIVE OAK,FL,32060,Suwannee,DUKE ENERGY CORP,550 S Tryon Street,Charlotte,NC,28202,100,221112
1001491,110000588677,2023,Lansing Smith Generating Plant,4300 HIGHWAY 2300,SOUTHPORT,FL,32409,Bay,NEXTERA ENERGY INC,700 Universe Blvd,Juno Beach,FL,33408,100,221112
1001492,110008319505,2023,Big Bend,13031 WYANDOTTE ROAD,APOLLO BEACH,FL,33572,Hillsborough,TECO ENERGY INC,702 N Franklin Street,Tampa,FL,33602,100,221112
1001495,110000362615,2023,Deerhaven,10001 NW 13TH ST,GAINESVILLE,FL,32653,Alachua,CITY OF GAINESVILLE FLORIDA,200 East University Avenue,Gainesville,FL,32601,100,221112
1001496,110071161612,2023,J R Kelly,515 SE 5 AVE,GAINESVILLE,FL,32601,Alachua,CITY OF GAINESVILLE FLORIDA,200 East University Avenue,Gainesville,FL,32601,100,221112
